Name,Population,GDP,enums.Continent,EconomicRating,PopulationRating,ContinentRating
United States,331449281,21427700,NORTH_AMERICA,8.7,7.5,8.3
China,1439323776,15308000,ASIA,8.2,7.8,8.0
Japan,126476461,5154475,ASIA,8.0,7.2,8.0
Germany,83783942,3845630,EUROPE,8.5,7.1,8.5
United Kingdom,67886011,2827113,EUROPE,8.3,7.0,8.5
India,1380004385,2875142,ASIA,7.5,7.6,8.0
France,65273511,2777535,EUROPE,8.3,7.0,8.5
Brazil,212559417,1839758,SOUTH_AMERICA,7.6,7.4,8.1
Italy,60461826,1943549,EUROPE,8.1,7.0,8.5
Canada,37742154,1736426,NORTH_AMERICA,8.4,6.9,8.3
Russia,145912025,1686000,EUROPE,7.5,7.4,8.5
Australia,25687041,1392681,AUSTRALIA,8.2,6.8,8.2
Mexico,130262216,1245747,NORTH_AMERICA,7.4,7.3,8.3
Indonesia,276361783,1121835,ASIA,7.1,7.6,8.0
Spain,46757980,1419044,EUROPE,8.0,6.9,8.5
South Korea,51780579,1665853,ASIA,8.1,7.0,8.0
Saudi Arabia,35340436,793966,ASIA,7.0,7.0,8.0
Turkey,83614362,760712,ASIA,6.9,7.2,8.0
Nigeria,214028576,514078,AFRICA,6.2,7.6,7.8
Egypt,107786678,361872,AFRICA,6.0,7.3,7.8
Thailand,70318568,543650,ASIA,6.8,7.1,8.0
Argentina,45925901,449663,SOUTH_AMERICA,6.7,7.0,8.1
Iran,85719065,458500,ASIA,6.5,7.2,8.0
South Africa,60056657,369849,AFRICA,6.4,7.1,7.8
Colombia,51496746,327396,SOUTH_AMERICA,6.4,7.0,8.1
Ukraine,42541633,534640,EUROPE,7.0,6.8,8.5
Peru,34080944,235845,SOUTH_AMERICA,6.1,6.9,8.1
Malaysia,32776178,381371,ASIA,6.6,6.9,8.0
Venezuela,31108083,70280,SOUTH_AMERICA,5.5,6.8,8.1
Chile,19458310,302323,SOUTH_AMERICA,6.5,6.7,8.1
Kazakhstan,19129728,179674,ASIA,6.3,6.6,8.0
Belgium,11632334,543097,EUROPE,7.3,6.6,8.5
Philippines,116413678,357622,ASIA,6.2,7.1,8.0
Sweden,10353442,563057,EUROPE,7.4,6.5,8.5
Sri Lanka,22093448,84056,ASIA,5.8,6.7,8.0
Guatemala,19069001,81790,NORTH_AMERICA,5.7,6.7,8.3
Greece,10249763,218032,EUROPE,6.8,6.5,8.5
Portugal,10103710,236015,EUROPE,6.9,6.5,8.5
Bangladesh,171648923,317465,ASIA,6.1,7.2,8.0
Switzerland,8735453,703082,EUROPE,7.5,6.4,8.5
